InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
576837,22028,PENNY FARTHING BIRTHDAY CARD,3,11/16/2011 15:16,0.83,,United Kingdom
576837,22029,SPACEBOY BIRTHDAY CARD,1,11/16/2011 15:16,0.83,,United Kingdom
576837,22037,ROBOT BIRTHDAY CARD,1,11/16/2011 15:16,0.83,,United Kingdom
"576837,22041,""RECORD FRAME 7"""" SINGLE SIZE "",1,11/16/2011 15:16,4.96,,United Kingdom"
576837,22064,PINK DOUGHNUT TRINKET POT ,1,11/16/2011 15:16,3.29,,United Kingdom
576837,22065,CHRISTMAS PUDDING TRINKET POT ,5,11/16/2011 15:16,1.63,,United Kingdom
576837,22068,BLACK PIRATE TREASURE CHEST,1,11/16/2011 15:16,3.29,,United Kingdom
576837,22074,6 RIBBONS SHIMMERING PINKS ,1,11/16/2011 15:16,1.25,,United Kingdom
576837,22075,6 RIBBONS ELEGANT CHRISTMAS ,4,11/16/2011 15:16,1.63,,United Kingdom
576837,22076,6 RIBBONS EMPIRE  ,3,11/16/2011 15:16,1.25,,United Kingdom
576837,22077,6 RIBBONS RUSTIC CHARM,2,11/16/2011 15:16,4.13,,United Kingdom
576837,22082,RIBBON REEL STRIPES DESIGN ,1,11/16/2011 15:16,3.29,,United Kingdom
576837,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,12,11/16/2011 15:16,5.79,,United Kingdom
576837,22106,MIRROR MOSAIC HURRICANE LAMP ,2,11/16/2011 15:16,4.96,,United Kingdom
576837,22107,PIZZA PLATE IN BOX,6,11/16/2011 15:16,3.29,,United Kingdom
576837,22108,PING! MICROWAVE PLATE,1,11/16/2011 15:16,3.29,,United Kingdom
576837,22109,FULL ENGLISH BREAKFAST PLATE,1,11/16/2011 15:16,7.46,,United Kingdom
576837,22110,BIRD HOUSE HOT WATER BOTTLE,1,11/16/2011 15:16,5.79,,United Kingdom
576837,22113,GREY HEART HOT WATER BOTTLE,1,11/16/2011 15:16,8.29,,United Kingdom
576837,22114,HOT WATER BOTTLE TEA AND SYMPATHY,3,11/16/2011 15:16,8.29,,United Kingdom
576837,22129,PARTY CONES CANDY DECORATION,4,11/16/2011 15:16,2.46,,United Kingdom
576837,22130,PARTY CONE CHRISTMAS DECORATION ,6,11/16/2011 15:16,1.38,,United Kingdom
576837,22135,MINI LADLE LOVE HEART PINK,2,11/16/2011 15:16,0.83,,United Kingdom
576837,22138,BAKING SET 9 PIECE RETROSPOT ,1,11/16/2011 15:16,10.79,,United Kingdom
576837,22139,RETROSPOT TEA SET CERAMIC 11 PC ,1,11/16/2011 15:16,10.79,,United Kingdom
576837,22141,CHRISTMAS CRAFT TREE TOP ANGEL,3,11/16/2011 15:16,4.13,,United Kingdom
576837,22142,CHRISTMAS CRAFT WHITE FAIRY ,1,11/16/2011 15:16,3.29,,United Kingdom
576837,22144,CHRISTMAS CRAFT LITTLE FRIENDS,3,11/16/2011 15:16,4.13,,United Kingdom
576837,22155,STAR DECORATION RUSTIC,1,11/16/2011 15:16,0.83,,United Kingdom
576837,22162,HEART GARLAND RUSTIC PADDED,3,11/16/2011 15:16,3.29,,United Kingdom
576837,22163,HEART STRING MEMO HOLDER HANGING,4,11/16/2011 15:16,1.63,,United Kingdom
576837,22173,METAL 4 HOOK HANGER FRENCH CHATEAU,1,11/16/2011 15:16,5.79,,United Kingdom
576837,22179,SET 10 NIGHT OWL LIGHTS,1,11/16/2011 15:16,13.29,,United Kingdom
576837,22185,SLATE TILE NATURAL HANGING,1,11/16/2011 15:16,3.29,,United Kingdom
576837,22187,GREEN CHRISTMAS TREE CARD HOLDER,1,11/16/2011 15:16,8.29,,United Kingdom
576837,22196,SMALL HEART MEASURING SPOONS,7,11/16/2011 15:16,1.63,,United Kingdom
576837,22197,POPCORN HOLDER,28,11/16/2011 15:16,1.63,,United Kingdom
576837,22199,FRYING PAN RED RETROSPOT,1,11/16/2011 15:16,8.29,,United Kingdom
576837,22208,WOOD STAMP SET THANK YOU,2,11/16/2011 15:16,3.29,,United Kingdom
576837,22210,WOOD STAMP SET BEST WISHES,1,11/16/2011 15:16,3.29,,United Kingdom
576837,22211,WOOD STAMP SET FLOWERS,1,11/16/2011 15:16,3.29,,United Kingdom
576837,22214,CANDLE PLATE LACE WHITE,1,11/16/2011 15:16,4.96,,United Kingdom
576837,22219,LOVEBIRD HANGING DECORATION WHITE ,2,11/16/2011 15:16,1.63,,United Kingdom
576837,22230,JIGSAW TREE WITH WATERING CAN,1,11/16/2011 15:16,1.63,,United Kingdom
576837,22231,JIGSAW TREE WITH BIRDHOUSE,1,11/16/2011 15:16,3.29,,United Kingdom
576837,22241,GARLAND WOODEN HAPPY EASTER,1,11/16/2011 15:16,2.46,,United Kingdom
576837,22279,POCKET BAG BLUE PAISLEY RED SPOT,19,11/16/2011 15:16,2.46,,United Kingdom
576837,22280,POCKET BAG PINK PAISELY BROWN SPOT,1,11/16/2011 15:16,2.46,,United Kingdom
576837,22299,PIG KEYRING WITH LIGHT & SOUND ,1,11/16/2011 15:16,2.46,,United Kingdom
576837,22308,TEA COSY BLUE STRIPE,1,11/16/2011 15:16,4.96,,United Kingdom
576837,22310,IVORY KNITTED MUG COSY ,1,11/16/2011 15:16,3.29,,United Kingdom
576837,22324,BLUE POLKADOT KIDS BAG,1,11/16/2011 15:16,4.13,,United Kingdom
576837,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1,11/16/2011 15:16,5.79,,United Kingdom
576837,22331,WOODLAND PARTY BAG + STICKER SET,1,11/16/2011 15:16,3.29,,United Kingdom
